,cl_id,str_id,cl_type,s_cl_st,s_cl_tot,s_cl_pop,s_cl_hh,u_n,u_medpop,st_hhsiz,st_pop_n,st_pop_p,st_hh_n,st_hh_p,st_name,ori_id,geometry
79,80,1,main,205,205,104.83172,104.825,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3287038,"POLYGON ((121.620784685 15.720827045, 121.62495135 15.720827045, 121.62495135 15.71666038, 121.620784685 15.71666038, 121.620784685 15.720827045))"
80,81,1,main,205,205,127.44362,127.435,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3289539,"POLYGON ((121.56661804 15.71666038, 121.570784705 15.71666038, 121.570784705 15.712493715, 121.56661804 15.712493715, 121.56661804 15.71666038))"
81,82,1,main,205,205,165.3489,165.34,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3292048,"POLYGON ((121.545784715 15.712493715, 121.54995138 15.712493715, 121.54995138 15.708327050000001, 121.545784715 15.708327050000001, 121.545784715 15.712493715))"
82,83,1,main,205,205,75.12448999999999,75.11,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3292064,"POLYGON ((121.612451355 15.712493715, 121.61661802 15.712493715, 121.61661802 15.708327050000001, 121.612451355 15.708327050000001, 121.612451355 15.712493715))"
83,84,1,main,205,205,82.13558999999999,82.145,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3294573,"POLYGON ((121.59161803 15.708327050000001, 121.59578469499999 15.708327050000001, 121.59578469499999 15.704160385000002, 121.59161803 15.704160385000002, 121.59161803 15.708327050000001))"
84,85,1,main,205,205,56.50899,56.525,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3297088,"POLYGON ((121.59578469499999 15.704160385000002, 121.59995136 15.704160385000002, 121.59995136 15.69999372, 121.59578469499999 15.69999372, 121.59578469499999 15.704160385000002))"
85,86,1,main,205,205,105.60108,105.595,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3302106,"POLYGON ((121.554118045 15.695827055, 121.55828471 15.695827055, 121.55828471 15.691660390000001, 121.554118045 15.691660390000001, 121.554118045 15.695827055))"
86,87,1,main,205,205,84.44466,84.455,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3304625,"POLYGON ((121.57495137 15.691660390000001, 121.579118035 15.691660390000001, 121.579118035 15.687493725, 121.57495137 15.687493725, 121.57495137 15.691660390000001))"
87,88,1,main,205,205,73.47333999999999,73.465,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3309652,"POLYGON ((121.570784705 15.68332706, 121.57495137 15.68332706, 121.57495137 15.679160395, 121.570784705 15.679160395, 121.570784705 15.68332706))"
88,89,1,oversample,205,205,17.81939,17.815,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3239256,"POLYGON ((121.554118045 15.79999368, 121.55828471 15.79999368, 121.55828471 15.795827015, 121.554118045 15.795827015, 121.554118045 15.79999368))"
89,90,1,oversample,205,205,5.83791,5.845,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3241764,"POLYGON ((121.529118055 15.795827015, 121.53328472 15.795827015, 121.53328472 15.79166035, 121.529118055 15.79166035, 121.529118055 15.795827015))"
90,91,1,oversample,205,205,182.32712,182.315,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3241766,"POLYGON ((121.537451385 15.795827015, 121.54161805 15.795827015, 121.54161805 15.79166035, 121.537451385 15.79166035, 121.537451385 15.795827015))"
91,92,1,oversample,205,205,294.74385,294.735,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3244278,"POLYGON ((121.529118055 15.79166035, 121.53328472 15.79166035, 121.53328472 15.787493685000001, 121.529118055 15.787493685000001, 121.529118055 15.79166035))"
92,93,1,oversample,205,205,125.9331,125.93,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3246789,"POLYGON ((121.51661806 15.787493685000001, 121.520784725 15.787493685000001, 121.520784725 15.783327020000002, 121.51661806 15.783327020000002, 121.51661806 15.787493685000001))"
93,94,1,oversample,205,205,243.4649,243.46,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3246798,"POLYGON ((121.554118045 15.787493685000001, 121.55828471 15.787493685000001, 121.55828471 15.783327020000002, 121.554118045 15.783327020000002, 121.554118045 15.787493685000001))"
94,95,1,oversample,205,205,4.26681,4.27,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3246799,"POLYGON ((121.55828471 15.787493685000001, 121.562451375 15.787493685000001, 121.562451375 15.783327020000002, 121.55828471 15.783327020000002, 121.55828471 15.787493685000001))"
95,96,1,oversample,205,205,264.43839,264.425,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3249303,"POLYGON ((121.51661806 15.783327020000002, 121.520784725 15.783327020000002, 121.520784725 15.779160355000002, 121.51661806 15.779160355000002, 121.51661806 15.783327020000002))"
96,97,1,oversample,205,205,141.64054,141.645,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3251816,"POLYGON ((121.512451395 15.779160355000002, 121.51661806 15.779160355000002, 121.51661806 15.77499369, 121.512451395 15.77499369, 121.512451395 15.779160355000002))"
97,98,1,oversample,205,205,297.16943,297.185,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3251821,"POLYGON ((121.53328472 15.779160355000002, 121.537451385 15.779160355000002, 121.537451385 15.77499369, 121.53328472 15.77499369, 121.53328472 15.779160355000002))"
98,99,1,oversample,205,205,459.2938,459.305,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3251824,"POLYGON ((121.545784715 15.779160355000002, 121.54995138 15.779160355000002, 121.54995138 15.77499369, 121.545784715 15.77499369, 121.545784715 15.779160355000002))"
99,100,1,oversample,205,205,251.44353,251.44,604,42.340878,3.5,50120,100.0,14320.0,100.0,,3251827,"POLYGON ((121.55828471 15.779160355000002, 121.562451375 15.779160355000002, 121.562451375 15.77499369, 121.55828471 15.77499369, 121.55828471 15.779160355000002))"
